Title,Name,Product_Id,Variant_Id,Sku,Barcode,Variant_Title,Product_Type,Product_Category,Product_Type,Product_Sub_Type,Product_Campaign,Campaign_Year,is_print,Print_Solid_Name,Base_Fabric_Color,Made_In,Manufacturer
THE SKIRTED LEO IN SPINDRIFT,THE SKIRTED LEO IN SPINDRIFT - 4T,,33515739590,amSKLEO004,,4T,,Girl's,Dance,Skirted Leo,,,TRUE,Spindrift,Cream White,USA,Left in Stitches
*WAREHOUSE* THE SKIRTED LEO IN SPINDRIFT,*WAREHOUSE* THE SKIRTED LEO IN SPINDRIFT - 5,,42610186566,amSKLEO005,,5,,Girl's,Dance,Skirted Leo,,,TRUE,Spindrift,Cream White,USA,Left in Stitches
THE SKIRTED LEO IN SPINDRIFT,THE SKIRTED LEO IN SPINDRIFT - 5,,33515739654,amSKLEO005,,5,,Girl's,Dance,Skirted Leo,,,TRUE,Spindrift,Cream White,USA,Left in Stitches
*WAREHOUSE* THE SKIRTED LEO IN SPINDRIFT,*WAREHOUSE* THE SKIRTED LEO IN SPINDRIFT - 6,,42610186630,amSKLEO006,,6,,Girl's,Dance,Skirted Leo,,,TRUE,Spindrift,Cream White,USA,Left in Stitches
THE SKIRTED LEO IN SPINDRIFT,THE SKIRTED LEO IN SPINDRIFT - 6,,33515739718,amSKLEO006,,6,,Girl's,Dance,Skirted Leo,,,TRUE,Spindrift,Cream White,USA,Left in Stitches
THE BALLET DRESS IN ADOBO GARDEN,THE BALLET DRESS IN ADOBO GARDEN - 3T,,,FW19adobogarden003,,3T,,Girl's,Dresses,Long Sleeve Ballet Dress,Fall,2019,TRUE,Adobo Garden,Powder Puff,USA,Left in Stitches
THE BALLET DRESS IN ADOBO GARDEN,THE BALLET DRESS IN ADOBO GARDEN - 4T,,,FW19adobogarden004,,4T,,Girl's,Dresses,Long Sleeve Ballet Dress,Fall,2019,TRUE,Adobo Garden,Powder Puff,USA,Left in Stitches
THE BALLET DRESS IN ADOBO GARDEN,THE BALLET DRESS IN ADOBO GARDEN - 5,,,FW19adobogarden005,,5,,Girl's,Dresses,Long Sleeve Ballet Dress,Fall,2019,TRUE,Adobo Garden,Powder Puff,USA,Left in Stitches
THE BALLET DRESS IN ADOBO GARDEN,THE BALLET DRESS IN ADOBO GARDEN - 6,,,FW19adobogarden006,,6,,Girl's,Dresses,Long Sleeve Ballet Dress,Fall,2019,TRUE,Adobo Garden,Powder Puff,USA,Left in Stitches
THE BALLET DRESS IN ADOBO GARDEN,THE BALLET DRESS IN ADOBO GARDEN - 7,,,FW19adobogarden007,,7,,Girl's,Dresses,Long Sleeve Ballet Dress,Fall,2019,TRUE,Adobo Garden,Powder Puff,USA,Left in Stitches
THE BALLET DRESS IN ADOBO GARDEN,THE BALLET DRESS IN ADOBO GARDEN - 8,,,FW19adobogarden008,,8,,Girl's,Dresses,Long Sleeve Ballet Dress,Fall,2019,TRUE,Adobo Garden,Powder Puff,USA,Left in Stitches
THE BALLET DRESS IN ADOBO GARDEN,THE BALLET DRESS IN ADOBO GARDEN - 10,,,FW19adobogarden010,,10,,Girl's,Dresses,Long Sleeve Ballet Dress,Fall,2019,TRUE,Adobo Garden,Powder Puff,USA,Left in Stitches
THE BALLET DRESS IN AEGEAN BLUE,THE BALLET DRESS IN AEGEAN BLUE - 2T,,,HD20TBDAEGEANBLUE002,,2T,,Girl's,Dresses,Long Sleeve Ballet Dress,,,FALSE,Aegean Blue,,USA,Left in Stitches
THE CLARA TOP IN AUTUMN BLAZE,THE CLARA TOP IN AUTUMN BLAZE - 2T,,1.25099E+13,AW18ctab002,,2T,,Girl's,Separates,Clara Top,,,,Autumn Blaze,,USA,Left in Stitches
THE CLARA TOP IN AUTUMN BLAZE,THE CLARA TOP IN AUTUMN BLAZE - 3T,,1.25099E+13,AW18ctab003,,3T,,Girl's,Separates,Clara Top,,,,Autumn Blaze,,USA,Left in Stitches
THE CLARA TOP IN AUTUMN BLAZE,THE CLARA TOP IN AUTUMN BLAZE - 4T,,1.25099E+13,AW18ctab004,,4T,,Girl's,Separates,Clara Top,,,,Autumn Blaze,,USA,Left in Stitches
THE CLARA TOP IN AUTUMN BLAZE,THE CLARA TOP IN AUTUMN BLAZE - 5,,1.25099E+13,AW18ctab005,,5,,Girl's,Separates,Clara Top,,,,Autumn Blaze,,USA,Left in Stitches
THE CLARA TOP IN AUTUMN BLAZE,THE CLARA TOP IN AUTUMN BLAZE - 6,,1.25099E+13,AW18ctab006,,6,,Girl's,Separates,Clara Top,,,,Autumn Blaze,,USA,Left in Stitches
THE CLARA TOP IN AUTUMN BLAZE,THE CLARA TOP IN AUTUMN BLAZE - 7,,1.25099E+13,AW18ctab007,,7,,Girl's,Separates,Clara Top,,,,Autumn Blaze,,USA,Left in Stitches
THE CLARA TOP IN AUTUMN BLAZE,THE CLARA TOP IN AUTUMN BLAZE - 8,,1.25099E+13,AW18ctab008,,8,,Girl's,Separates,Clara Top,,,,Autumn Blaze,,USA,Left in Stitches
THE CLARA TOP IN AUTUMN BLAZE,THE CLARA TOP IN AUTUMN BLAZE - 10,,1.25099E+13,AW18ctab010,,10,,Girl's,Separates,Clara Top,,,,Autumn Blaze,,USA,Left in Stitches
THE CLARA TOP IN DUSTY PINK,THE CLARA TOP IN DUSTY PINK - 2T,,1.25099E+13,AW18ctdp002,,2T,,Girl's,Separates,Clara Top,,,,Dusty Pink,,USA,Left in Stitches
THE CLARA TOP IN DUSTY PINK,THE CLARA TOP IN DUSTY PINK - 3T,,1.25099E+13,AW18ctdp003,,3T,,Girl's,Separates,Clara Top,,,,Dusty Pink,,USA,Left in Stitches
THE CLARA TOP IN DUSTY PINK,THE CLARA TOP IN DUSTY PINK - 4T,,1.25099E+13,AW18ctdp004,,4T,,Girl's,Separates,Clara Top,,,,Dusty Pink,,USA,Left in Stitches
THE CLARA TOP IN DUSTY PINK,THE CLARA TOP IN DUSTY PINK - 5,,1.25099E+13,AW18ctdp005,,5,,Girl's,Separates,Clara Top,,,,Dusty Pink,,USA,Left in Stitches
THE CLARA TOP IN DUSTY PINK,THE CLARA TOP IN DUSTY PINK - 6,,1.25099E+13,AW18ctdp006,,6,,Girl's,Separates,Clara Top,,,,Dusty Pink,,USA,Left in Stitches
THE CLARA TOP IN DUSTY PINK,THE CLARA TOP IN DUSTY PINK - 7,,1.25099E+13,AW18ctdp007,,7,,Girl's,Separates,Clara Top,,,,Dusty Pink,,USA,Left in Stitches
THE CLARA TOP IN DUSTY PINK,THE CLARA TOP IN DUSTY PINK - 8,,1.25099E+13,AW18ctdp008,,8,,Girl's,Separates,Clara Top,,,,Dusty Pink,,USA,Left in Stitches
THE CLARA TOP IN DUSTY PINK,THE CLARA TOP IN DUSTY PINK - 10,,1.25099E+13,AW18ctdp010,,10,,Girl's,Separates,Clara Top,,,,Dusty Pink,,USA,Left in Stitches
THE BALLET DRESS IN AEGEAN BLUE,THE BALLET DRESS IN AEGEAN BLUE - 3T,,,HD20TBDAEGEANBLUE003,,3T,,Girl's,Dresses,Long Sleeve Ballet Dress,,,FALSE,Aegean Blue,,USA,Left in Stitches
THE BALLET DRESS IN AEGEAN BLUE,THE BALLET DRESS IN AEGEAN BLUE - 4T,,,HD20TBDAEGEANBLUE004,,4T,,Girl's,Dresses,Long Sleeve Ballet Dress,,,FALSE,Aegean Blue,,USA,Left in Stitches
THE BALLET DRESS IN AEGEAN BLUE,THE BALLET DRESS IN AEGEAN BLUE - 5,,,HD20TBDAEGEANBLUE005,,5,,Girl's,Dresses,Long Sleeve Ballet Dress,,,FALSE,Aegean Blue,,USA,Left in Stitches
THE BALLET DRESS IN AEGEAN BLUE,THE BALLET DRESS IN AEGEAN BLUE - 6,,,HD20TBDAEGEANBLUE006,,6,,Girl's,Dresses,Long Sleeve Ballet Dress,,,FALSE,Aegean Blue,,USA,Left in Stitches
THE BALLET DRESS IN AEGEAN BLUE,THE BALLET DRESS IN AEGEAN BLUE - 7,,,HD20TBDAEGEANBLUE007,,7,,Girl's,Dresses,Long Sleeve Ballet Dress,,,FALSE,Aegean Blue,,USA,Left in Stitches
THE BALLET DRESS IN AEGEAN BLUE,THE BALLET DRESS IN AEGEAN BLUE - 8,,,HD20TBDAEGEANBLUE008,,8,,Girl's,Dresses,Long Sleeve Ballet Dress,,,FALSE,Aegean Blue,,USA,Left in Stitches
THE BALLET DRESS IN AEGEAN BLUE,THE BALLET DRESS IN AEGEAN BLUE - 10,,,HD20TBDAEGEANBLUE010,,10,,Girl's,Dresses,Long Sleeve Ballet Dress,,,FALSE,Aegean Blue,,USA,Left in Stitches
THE PINAFORE DRESS IN AEGEAN BLUE,THE PINAFORE DRESS IN AEGEAN BLUE - 2T,7.33946E+12,4.21902E+13,LO22TPDaegeanblue002,08729287,2T,Dresses,Girl's,Dresses,Pinafore Dress,,,FALSE,Aegean Blue,,USA,Left in Stitches
THE GAUZE SKIRT IN SEAPORT DASH,THE GAUZE SKIRT IN SEAPORT DASH - 2T,,1.25099E+13,AW18gssd002,,2T,,Girl's,Separates,Gauze Skirt,Spring Woven,2022,,Seaport Dash,,China,Guangzhou Duanding
THE GAUZE SKIRT IN SEAPORT DASH,THE GAUZE SKIRT IN SEAPORT DASH - 3T,,1.25099E+13,AW18gssd003,,3T,,Girl's,Separates,Gauze Skirt,Spring Woven,2022,,Seaport Dash,,China,Guangzhou Duanding
THE GAUZE SKIRT IN SEAPORT DASH,THE GAUZE SKIRT IN SEAPORT DASH - 4T,,1.25099E+13,AW18gssd004,,4T,,Girl's,Separates,Gauze Skirt,Spring Woven,2022,,Seaport Dash,,China,Guangzhou Duanding
THE GAUZE SKIRT IN SEAPORT DASH,THE GAUZE SKIRT IN SEAPORT DASH - 5,,1.25099E+13,AW18gssd005,,5,,Girl's,Separates,Gauze Skirt,Spring Woven,2022,,Seaport Dash,,China,Guangzhou Duanding
THE GAUZE SKIRT IN SEAPORT DASH,THE GAUZE SKIRT IN SEAPORT DASH - 6,,1.25099E+13,AW18gssd006,,6,,Girl's,Separates,Gauze Skirt,Spring Woven,2022,,Seaport Dash,,China,Guangzhou Duanding
THE GAUZE SKIRT IN SEAPORT DASH,THE GAUZE SKIRT IN SEAPORT DASH - 7,,1.25099E+13,AW18gssd007,,7,,Girl's,Separates,Gauze Skirt,Spring Woven,2022,,Seaport Dash,,China,Guangzhou Duanding
THE GAUZE SKIRT IN SEAPORT DASH,THE GAUZE SKIRT IN SEAPORT DASH - 8,,1.25099E+13,AW18gssd008,,8,,Girl's,Separates,Gauze Skirt,Spring Woven,2022,,Seaport Dash,,China,Guangzhou Duanding
THE GAUZE SKIRT IN SEAPORT DASH,THE GAUZE SKIRT IN SEAPORT DASH - 10,,1.25099E+13,AW18gssd010,,10,,Girl's,Separates,Gauze Skirt,Spring Woven,2022,,Seaport Dash,,China,Guangzhou Duanding
THE PINAFORE DRESS IN AEGEAN BLUE,THE PINAFORE DRESS IN AEGEAN BLUE - 3T,7.33946E+12,4.21902E+13,LO22TPDaegeanblue003,08762055,3T,Dresses,Girl's,Dresses,Pinafore Dress,,,FALSE,Aegean Blue,,USA,Left in Stitches
THE PINAFORE DRESS IN AEGEAN BLUE,THE PINAFORE DRESS IN AEGEAN BLUE - 4T,7.33946E+12,4.21902E+13,LO22TPDaegeanblue004,08794823,4T,Dresses,Girl's,Dresses,Pinafore Dress,,,FALSE,Aegean Blue,,USA,Left in Stitches
THE PINAFORE DRESS IN AEGEAN BLUE,THE PINAFORE DRESS IN AEGEAN BLUE - 5,7.33946E+12,4.21902E+13,LO22TPDaegeanblue005,08827591,5,Dresses,Girl's,Dresses,Pinafore Dress,,,FALSE,Aegean Blue,,USA,Left in Stitches
THE PINAFORE DRESS IN AEGEAN BLUE,THE PINAFORE DRESS IN AEGEAN BLUE - 6,7.33946E+12,4.21902E+13,LO22TPDaegeanblue006,08860359,6,Dresses,Girl's,Dresses,Pinafore Dress,,,FALSE,Aegean Blue,,USA,Left in Stitches
THE PINAFORE DRESS IN AEGEAN BLUE,THE PINAFORE DRESS IN AEGEAN BLUE - 7,7.33946E+12,4.21902E+13,LO22TPDaegeanblue007,08893127,7,Dresses,Girl's,Dresses,Pinafore Dress,,,FALSE,Aegean Blue,,USA,Left in Stitches
THE PINAFORE DRESS IN AEGEAN BLUE,THE PINAFORE DRESS IN AEGEAN BLUE - 8,7.33946E+12,4.21902E+13,LO22TPDaegeanblue008,08925895,8,Dresses,Girl's,Dresses,Pinafore Dress,,,FALSE,Aegean Blue,,USA,Left in Stitches
THE PINAFORE DRESS IN AEGEAN BLUE,THE PINAFORE DRESS IN AEGEAN BLUE - 10,7.33946E+12,4.21902E+13,LO22TPDaegeanblue010,08958663,10,Dresses,Girl's,Dresses,Pinafore Dress,,,FALSE,Aegean Blue,,USA,Left in Stitches
THE TANK BALLET DRESS IN AEGEAN BLUE,THE TANK BALLET DRESS IN AEGEAN BLUE - 2T,,,SS21TTBDaegeanblue002,,2T,,Girl's,Dresses,Tank Ballet Dress,,,FALSE,Aegean Blue,,USA,Left in Stitches
THE TANK BALLET DRESS IN AEGEAN BLUE,THE TANK BALLET DRESS IN AEGEAN BLUE - 3T,,,SS21TTBDaegeanblue003,,3T,,Girl's,Dresses,Tank Ballet Dress,,,FALSE,Aegean Blue,,USA,Left in Stitches
THE TANK BALLET DRESS IN AEGEAN BLUE,THE TANK BALLET DRESS IN AEGEAN BLUE - 4T,,,SS21TTBDaegeanblue004,,4T,,Girl's,Dresses,Tank Ballet Dress,,,FALSE,Aegean Blue,,USA,Left in Stitches
THE TANK BALLET DRESS IN AEGEAN BLUE,THE TANK BALLET DRESS IN AEGEAN BLUE - 5,,,SS21TTBDaegeanblue005,,5,,Girl's,Dresses,Tank Ballet Dress,,,FALSE,Aegean Blue,,USA,Left in Stitches
THE TANK BALLET DRESS IN AEGEAN BLUE,THE TANK BALLET DRESS IN AEGEAN BLUE - 6,,,SS21TTBDaegeanblue006,,6,,Girl's,Dresses,Tank Ballet Dress,,,FALSE,Aegean Blue,,USA,Left in Stitches
THE TANK BALLET DRESS IN AEGEAN BLUE,THE TANK BALLET DRESS IN AEGEAN BLUE - 7,,,SS21TTBDaegeanblue007,,7,,Girl's,Dresses,Tank Ballet Dress,,,FALSE,Aegean Blue,,USA,Left in Stitches
THE TANK BALLET DRESS IN AEGEAN BLUE,THE TANK BALLET DRESS IN AEGEAN BLUE - 8,,,SS21TTBDaegeanblue008,,8,,Girl's,Dresses,Tank Ballet Dress,,,FALSE,Aegean Blue,,USA,Left in Stitches
THE TANK BALLET DRESS IN AEGEAN BLUE,THE TANK BALLET DRESS IN AEGEAN BLUE - 10,,,SS21TTBDaegeanblue010,,10,,Girl's,Dresses,Tank Ballet Dress,,,FALSE,Aegean Blue,,USA,Left in Stitches
THE SMOCKED DRESS IN AEGEAN BLUE,THE SMOCKED DRESS IN AEGEAN BLUE - 2T,7.25553E+12,4.18193E+13,SS22TSDablue002,52228295,2T,Dresses,Girl's,Dresses,Smocked Dress,Spring Woven,2022,FALSE,Aegean Blue,,China,Guangzhou Duanding
THE JUMPSUIT IN FALL FLORAL,THE JUMPSUIT IN FALL FLORAL - 2T,,1.25345E+13,AW18jumpsuitFF002,,2T,,Girl's,Rompers and Sets,Jumpsuit,,,TRUE,Fall Floral,,USA,Left in Stitches
THE JUMPSUIT IN NAVY DOT,THE JUMPSUIT IN NAVY DOT - 2T,,1.25345E+13,AW18jumpsuitFF002,,2T,,Girl's,Rompers and Sets,Jumpsuit,,,TRUE,Navy Dot,,USA,Left in Stitches
